Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;4.60335195530726,1,4,9,0,10;1.6145251396648,0,0,1,0,19;151.972067039106,129.5,162,182,17,234;198.776536312849,170,210,233,42,289;6.24022346368715,1,4,10,-1,29;1307.26536885475,603.1666665,1215.871795,1958.313901,88.851064,3708.322581;11.0544646201117,2.821941,8.695656,18.350342,-2.325584,36.708862;4805.10055865922,552,3211,9025,3,17320;9.02365239106146,7.623759,8.82751,10.532825,2.206878,16.651895;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;155.451777949721,140.8917865,155.783563,168.202982,123.756896,195.788322;2.63797220111732,2.253744,2.77488,3.099744,0.527904,3.857760
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;4.45810055865922,1,4,8,0,10;5.0391061452514,0,0,6,0,46;230.22905027933,197.5,249,273,28,331;273.95530726257,244.5,292,318,55,389;9.49162011173184,1,5,14,-2,56;3929.96064478212,1394.9333335,3670.836066,6035.652778,102.625000,10081.666667;15.8439176927374,2.299156,10.909088,25,-3.225807,73.684212;5535.5530726257,598,4791,9675,2,16827;8.37914225698324,7.004046,8.004624,9.805665,2.201272,16.009248;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;155.593077648045,142.5236555,156.53206,167.33167,122.950487,192.267070;3.6540796424581,3.268944,3.911904,4.250304,0.703872,5.224896
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;4.10055865921788,0,3,8,0,10;3.15642458100559,0,0,4,0,37;206.167597765363,170.5,223,252,34,320;251.731843575419,221.5,269,300.5,61,366;7.59217877094972,0,4,13,-5,47;2753.08839636313,977.2089475,2335.888889,4273.3604955,110.319149,8804.575758;13.0169947988827,0,9.090912,22.767143,-7.692307,55.952381;5001.05586592179,201,4106,9017.5,1,21289;8.75979518994414,7.004482,8.805635,10.006403,2.401537,15.810116;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;156.039985960894,141.272323,157.050055,168.543247,124.543880,190.585862;3.35583392178771,2.950848,3.58704,4.006656,0.758016,4.900032
