Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;6.76470588235294,6,8,9,0,10;36.2857142857143,3.5,30,59,0,131;387.487394957983,332.5,440,463,46,532;469.605042016807,401.5,520,554,76,598;43.1260504201681,10.5,38,69,0,136;3462.26270179832,2652.139917,3678.761905,4467.749478,289.195122,6713.584906;30.5623569915966,9.455513,31.034485,49.213953,0.000000,71.348312;4131.05042016807,3065.5,4262,5659,1,9648;16.0385315882353,13.303705,15.885021,18.3670555,5.559757,30.380103;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;137.753099638655,102.7645545,161.859379,165.3836145,58.714516,170.348394;6.30726776470588,5.38056,6.998112,7.451568,0.974592,8.040384
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;6.38655462184874,5,8,9,0,10;34.2689075630252,0,24,55,0,143;389.411764705882,310,450,469.5,36,561;473.915966386555,415,527,558,73,635;40.7731092436975,6,31,64,-4,153;3263.27740046219,1766.8397545,3662.786517,4370.680368,179.116883,7551.375000;28.3043220840336,7.1008415,26.530609,47.405361,-4.301079,75.742577;3839.59663865546,2677,4072,5150,30,8093;16.5157568151261,13.70499,15.492598,19.1671245,5.760068,32.375557;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.928536705882,95.160019,157.126693,162.7190615,59.818457,167.764569;6.36345922689076,5.570064,7.092864,7.505712,0.947520,8.541216
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;5.5546218487395,0,8,9,0,10;32.3193277310924,0,25,60,0,151;361.663865546218,208,448,466,18,566;449.168067226891,334.5,522,557,48,652;38.0672268907563,1,34,69.5,-9,161;3038.11822501681,567.2465535,3658.068182,4426.8270425,49.298969,7121.488889;26.9440243697479,0.8142545,27.642273,46.146416,-6.293709,75.586853;3364.26890756303,316.5,4094,5305.5,1,9303;17.0588316554622,13.103185,16.279714,19.5555105,5.558927,36.133025;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;126.100638605042,92.31015,153.347504,164.7289485,50.392181,172.358964;6.0302916302521,4.473648,7.025184,7.492176,0.582048,8.744256
