Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;6.47899159663866,3,8,9,0,10;36.4705882352941,0.5,31,58.5,0,136;391.243697478992,276,439,458.5,52,583;473.084033613445,376.5,510,544.5,130,664;43.2773109243698,9,41,68,-3,144;3496.21177334454,2073.978273,3636.971831,4872.0545455,104.725664,8647.090909;31.0059158067227,8.831169,34.400002,49.80315,-3.921570,78.688522;4315.54621848739,2428.5,4353,5813,1,20128;15.9295305798319,12.309183,15.287211,18.662309,6.353127,32.956844;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;136.388787151261,109.03577,155.778339,164.7307425,77.437467,172.552400;6.35413189915966,5.048928,6.849216,7.299504,1.732608,8.947296
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;6.79831932773109,4,9,9,0,10;35.2773109243698,1,34,59,0,120;396.521008403361,277.5,430,468.5,36,585;479.352941176471,380,505,559.5,122,678;42.218487394958,5,44,68.5,-4,130;3498.98825806723,1832.5041035,3784.692982,4744.766381,160.447552,9609.343750;30.3795875966386,6.0487825,32.710281,48.2607385,-3.703705,69.398911;4332.61344537815,2228.5,4529,5791,1,17188;16.1488966638655,12.513517,15.095671,19.068217,6.157445,29.992716;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;135.650248915966,115.5898475,153.738401,163.0276865,79.164833,169.401443;6.43705411764706,5.096304,6.768,7.51248,1.610784,9.136800
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;6.59663865546218,5,8,9,0,10;36.8991596638655,1,31,66,0,147;396.386554621849,280,432,456,70,595;477.714285714286,391,506,545,152,665;43.8571428571429,7.5,40,76,-1,157;3519.9288407395,2186.2178325,3884.253012,4618.035666,134.113208,8054.729167;31.4878749495798,7.75,35.344826,51.363636,-0.819672,78.109451;4381.99159663866,2924.5,4403,5924,1,13827;15.818612184874,12.6090025,14.693956,17.473893,6.155576,32.763550;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;136.825313252101,113.381635,156.263011,166.224597,74.770661,172.289985;6.41703448739496,5.238432,6.795072,7.329744,2.003328,8.947296
