Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;129;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/130sta_sim.txt;6.38759689922481,3,8,9,0,10;28.968992248062,0,23,45,0,126;343,341,386,399,1,488;423.395348837209,417,462,479,3,539;35.4961240310078,5,32,54,-3,137;3572.87072707752,2140.654321,3863.045977,4563.029851,-1.000000,9537.594595;27.2345026589147,5.172417,28.925621,42.741936,-4.545456,74.456520;4255.09302325581,2255,4501,5737,0,14576;15.6619551627907,13.105247,15.09089,17.275098,0.000000,33.954503;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;126.102736294574,121.43307,142.252867,147.842647,39.005208,153.513675;5.67929972093023,5.576832,6.199488,6.443136,0.000000,7.241760
test;MCS2_8;1500;129;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/130sta_sim.txt;6.5968992248062,4,8,9,0,10;29,0,22,46,0,126;352.162790697674,360,389,406,1,477;432.410852713178,439,469,487,4,537;35.7054263565892,6,32,55,-12,136;3589.44969013178,2167.180556,3900.271739,4568.378788,120.712871,8521.562500;27.5171043875969,6.896553,29.92701,43.200001,-17.391304,72.500000;4569.51937984496,2711,4785,6101,29,16340;15.6282321007752,13.106656,15.092513,17.674127,0.198586,35.745424;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;124.580907496124,127.74776,140.208262,145.309369,39.094234,153.145653;5.80290753488372,5.874624,6.29424,6.524352,0.013536,7.201152
test;MCS2_8;1500;129;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/130sta_sim.txt;7.0077519379845,6,8,9,0,10;29.6899224806202,2,26,47,0,126;358.403100775194,360,397,410,2,482;437.480620155039,438,473,491,4,538;36.8992248062016,8,35,57,-4,136;3720.71808408527,2510.255814,3917.556818,4686.895522,-1.000000,10320.314286;28.5497739767442,10.112358,30,43.137257,-4.878052,78.523491;4683.84496124031,3274,4643,5967,0,12409;15.3971725116279,13.110464,14.898254,17.083332,0.000000,34.563950;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;126.017923658915,127.84652,138.889279,146.231068,40.073123,152.299261;5.87079739534884,5.88816,6.36192,6.592032,0.000000,7.241760
