Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;7.07537688442211,5,9,9,0,10;19.8040201005025,2,18,32.5,0,85;318.743718592965,314.5,361,385,20,463;366.909547738693,361.5,408,428,65,501;27.2462311557789,8,28,41.5,-1,95;5736.47154961809,4281.1237745,6063.194444,7360.347953,433.023256,15371.526316;34.0325299095477,14.538044,37.804878,50.5322115,-2.564102,81.196579;7640.52261306533,5394,8064,10166,15,21493;9.27389726633166,7.304376,8.605155,10.506294,2.801678,21.012588;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;127.045744507538,106.8632775,142.969519,148.351257,51.301880,153.461530;4.912855959799,4.852656,5.468544,5.739264,0.852768,6.727392
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;7.08040201005025,6,9,9,0,10;19.7738693467337,0.5,17,32.5,0,80;325.070351758794,327.5,364,390.5,9,480;373.060301507538,372,410,437.5,27,513;27.3969849246231,9,26,42,-1,91;5688.6400069598,4228.831818,6179.04878,7278.858265,312.625000,14755.818182;33.6060731507538,14.3346215,35.294121,51.219513,-2.564102,72.151901;7576.58793969849,5708.5,7758,9731.5,12,20377;9.24217513065327,7.408027,8.809546,10.411281,3.203471,19.821477;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;127.60799780402,109.669584,144.263254,147.878601,46.356767,151.360534;4.99604454271357,4.988016,5.495616,5.874624,0.297792,6.889824
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;7.55276381909548,7,9,10,0,10;19.7587939698492,1,16,31.5,0,79;327.29648241206,330,367,389,15,471;375.115577889447,377,412,433,60,500;27.4874371859296,9,25,40.5,-1,89;5734.66568284925,4160.580924,6078.5,7224.911111,107.803922,14521.866667;34.144173241206,16.175247,34.951454,50.5772,-2.777779,81.481483;7803,5587.5,8088,10250.5,2,17728;9.21403088944722,7.218077,8.822095,10.626614,3.007532,22.857245;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;127.178385628141,125.3214475,141.805492,147.108691,43.202441,151.450225;5.02182416080402,5.055696,5.522688,5.806944,0.771552,6.700320
