Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;149;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;0.0201342281879195,0,0,0,0,1;0,0,0,0,0,0;35.3020134228188,26,34,44,6,78;94.8523489932886,74,96,116,18,173;0.0469798657718121,0,0,0,-1,1;54.7609230402684,40.272727,49.109091,58.12987,25.702703,195.476190;0.0876757651006711,0,0,0,-1.515152,2.222221;46.1073825503356,4,26,73,1,461;11.4569227919463,9.353326,11.741409,13.731479,1.592055,19.701687;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;166.350113496644,148.270232,161.851846,179.519424,136.615081,224.274761;1.23264193288591,0.94752,1.245312,1.516032,0.203040,2.301120
test;MCS2_8;1500;149;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;0.0268456375838926,0,0,0,0,1;0,0,0,0,0,0;34.9597315436242,25,34,43,2,76;94.5704697986577,75,96,115,17,162;0.0268456375838926,0,0,0,-1,1;52.8269093087248,37.783133,44.735294,54.923077,12.388889,212.852459;0.0420607516778524,0,0,0,-2.040817,2.222221;55.0134228187919,5,24,70,1,526;11.4448138791946,9.534456,11.719436,13.705781,1.589076,19.863451;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;169.387162308725,150.726109,165.716892,184.850824,137.285753,222.191593;1.22800880536913,0.961056,1.231776,1.516032,0.162432,2.138688
test;MCS2_8;1500;149;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;0.00671140939597315,0,0,0,0,1;0,0,0,0,0,0;40.3624161073826,31,39,49,2,82;100.006711409396,84,101,120,15,159;0.0201342281879195,0,0,0,-1,1;67.2770571946309,48.265823,59.623188,78.942308,24.976190,233.959184;0.0280940939597316,0,0,0,-2.000000,1.785713;55.0402684563758,4,22,63,1,678;11.4585387718121,9.339403,11.723931,13.512327,1.390975,19.871069;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;154.227373469799,142.81399,152.019622,161.506027,134.202442,202.957376;1.30123038926174,1.08288,1.299456,1.55664,0.135360,2.098080
