Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;0.0168067226890756,0,0,0,0,1;0,0,0,0,0,0;58.1512605042017,46,58,71,8,115;142.638655462185,114.5,147,166,23,235;-0.134453781512605,0,0,0,-2,1;52.8947474537815,43.11096,49.030612,58.578193,27.940000,107.600000;-0.144874319327731,0,0,0,-1.739128,1.219513;48.1848739495798,4.5,25,65.5,1,284;16.4116874285714,13.5996615,16.676957,19.45645,2.580958,26.206647;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;136.713061529412,128.7660465,132.302958,148.1778045,111.565890,164.723803;1.8812232605042,1.48896,1.922112,2.1996,0.257184,3.113280
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;0.0504201680672269,0,0,0,0,1;0,0,0,0,0,0;56.8067226890756,46,55,71,8,107;141.226890756303,115,143,170.5,23,223;-0.151260504201681,0,0,0,-2,1;49.014587,42.9561115,46.978261,53.415022,31.408451,90.275000;-0.191066016806723,0,0,0,-2.898552,1.234566;68.1428571428571,11,36,79.5,1,423;16.4109511008403,13.506653,16.486062,19.465471,2.582154,26.218798;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;133.269358605042,126.4155375,132.215283,140.6833125,111.457732,154.915799;1.86017989915966,1.502496,1.881504,2.246976,0.270720,2.977920
test;MCS2_8;1500;119;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/120sta_sim.txt;0,0,0,0,0,0;0,0,0,0,0,0;58.2941176470588,45,58,70,4,112;142.705882352941,116.5,145,168.5,19,239;-0.19327731092437,0,0,0,-3,1;52.6040650252101,44.2719475,48.75,57.214473,34.080000,96.931818;-0.230509521008403,0,0,0,-4.285713,2.222221;49.8403361344538,15.5,34,75,1,305;16.4209875966387,13.6018375,16.679625,19.260996,2.581371,26.210840;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.897022478992,123.4834635,130.409425,141.710929,104.342926,159.876130;1.8823607394958,1.536336,1.922112,2.226672,0.216576,3.194496
