Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;79;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/80sta_sim.txt;0.0253164556962025,0,0,0,0,1;0,0,0,0,0,0;80.3291139240506,59.5,81,100.5,17,157;206.860759493671,162.5,204,247.5,87,353;-0.329113924050633,-1,0,0,-3,1;48.3267772531646,39.943485,43.032,47.6713355,33.524590,112.123077;-0.282101202531646,-0.709362,0,0,-2.290077,0.854698;27.0379746835443,2,13,44.5,1,168;24.6113302658228,19.703031,24.037698,28.372365,10.048546,44.331820;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;136.051193025317,126.933723,135.289646,146.8923315,106.853898,167.319966;2.75166865822785,2.138688,2.7072,3.302784,1.137024,4.724064
test;MCS2_8;1500;79;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/80sta_sim.txt;0.139240506329114,0,0,0,0,1;0,0,0,0,0,0;86.620253164557,65,91,105,28,137;213.101265822785,175,215,249.5,86,353;-0.30379746835443,-1,0,0,-2,1;50.6501413544304,42.5075945,46.170732,51.730985,33.204724,88.664234;-0.227780658227848,-0.676449,0,0,-1.694916,1.470589;57.4683544303797,11.5,39,74,1,422;24.6179908607595,19.706366,24.23883,28.2786355,10.050247,44.339324;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.470753088608,123.347108,135.704885,139.611826,104.529394,153.950558;2.83459807594937,2.314656,2.869632,3.329856,1.123488,4.737600
test;MCS2_8;1500;79;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/80sta_sim.txt;0.10126582278481,0,0,0,0,1;0,0,0,0,0,0;83.3417721518987,64,83,101,34,161;209.860759493671,168,205,244.5,97,364;-0.329113924050633,-1,0,0,-3,1;50.2614220759494,41.950724,45.172932,50.6458185,29.413534,87.308411;-0.271502253164557,-0.6969375,0,0,-2.542374,1.219513;51.2658227848101,19.5,44,75.5,1,192;24.6210398734177,19.696832,24.030135,28.264954,10.242353,44.514840;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;133.338841670886,124.607643,132.810846,142.1017035,106.930868,160.090581;2.79467544303797,2.23344,2.734272,3.275712,1.258848,4.872960
