Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;6.52513966480447,5,8,9,0,10;26.1564245810056,0,21,42.5,0,110;305.368715083799,309.5,336,350,43,383;355.68156424581,350.5,379,399.5,48,454;32.5698324022346,8,30,52,-2,120;5345.76995767598,3255.6384455,5606.519231,7123.5807045,198.870968,23533.857143;35.4921368603352,10.6395,36.893204,56.1678465,-5.000000,91.588783;7038.31843575419,3837,6952,9344,2,44950;9.85277079329609,7.408595,9.010453,11.813705,0.600697,29.033681;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;140.525076486033,136.940682,144.672212,150.509442,102.111190,164.287536;4.76183865921788,4.696992,5.076,5.34672,0.609120,6.104736
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;6.56424581005587,4.5,8,9,0,10;26.122905027933,0,21,40.5,0,105;314.016759776536,320.5,343,354.5,24,400;364.569832402235,368,387,402.5,29,512;32.9162011173184,6.5,29,49.5,-4,115;5263.52751260335,2962.235632,5657.103448,6740.6860795,165.808989,24710.875000;35.800748726257,11.952381,40,54.492157,-20.000000,93.457947;6671.30167597765,2662,6764,9071,2,39110;9.7871376424581,7.404639,9.005642,11.607272,0.600376,29.018181;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;140.180523039106,137.263722,143.768092,147.760885,101.724459,168.045757;4.88328455865922,4.933872,5.184288,5.394096,0.324864,6.876288
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;6.99441340782123,4,9,10,0,10;25.4804469273743,0,20,41,0,111;299.312849162011,296.5,325,339,11,371;350.234636871508,339.5,369,391.5,17,448;32.2122905027933,6,29,50.5,-7,121;5068.23950090503,3023.6434615,5506.864407,6634.0055555,282.261905,17942.900000;34.6278654357542,10.6117365,36.923077,54.4753095,-7.894737,92.523361;6707.69832402235,3346,7164,9269,2,23951;9.92511132960895,7.704315,9.205155,11.806612,0.800448,28.215801;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;143.935245083799,138.151065,146.965922,154.1787415,102.111350,172.575933;4.68599168715084,4.541328,4.954176,5.2452,0.175968,6.009984
