Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;169;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;5.3905325443787,1,7,9,0,10;8.29585798816568,0,2,14,0,53;344.881656804734,284,370,426,18,492;390.005917159763,323,420,475,27,537;14.4023668639053,2,11,24,-1,62;3784.93017023077,1428.571429,3506.102564,5782.907407,81.358974,10053.240000;21.6073527100592,3.846153,20,37.254902,-2.173912,65.714287;6851.3550295858,1360,7864,10462,3,19762;8.6567895739645,7.20787,8.409182,10.010931,0.800874,17.218801;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;125.677099094675,121.037667,133.4707,139.877226,36.826630,148.474247;5.22766182248521,4.345056,5.630976,6.375456,0.311328,7.214688
test;MCS2_8;1500;169;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;6.24260355029586,2,8,9,0,10;9.56804733727811,0,4,16,0,49;389.159763313609,348,406,485,17,529;432.426035502959,392,455,527,26,581;16.207100591716,3,12,26,0,58;4662.83088666864,2583.038462,4712.842105,6533.5,69.475000,13746.363636;24.5653794023669,6.896553,20.833336,38.554218,0.000000,83.333336;7540.72781065089,3443,7865,11009,21,26141;8.28666968639054,6.812878,8.015151,9.818559,0.801515,16.230680;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;125.611324248521,122.249943,133.16526,138.938854,34.840550,145.159897;5.80226101775148,5.238432,6.104736,7.079328,0.284256,7.810272
test;MCS2_8;1500;169;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;5.77514792899408,2,7,9,0,10;9.42603550295858,0,3,17,0,53;366.343195266272,324,409,462,19,521;410.307692307692,359,450,503,43,573;15.5798816568047,3,12,26,-2,63;4572.07608387574,1945.365854,4878.609756,6999,79.049180,10534.000000;23.3689614201183,6.521736,22.222221,37.878788,-3.030304,65.432098;6810.89349112426,3387,7279,10321,1,16038;8.42976255029586,6.812576,8.215165,9.617754,0.801480,16.630700;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;124.033581840237,123.563255,133.489615,137.85706,33.011823,146.489827;5.50166570414201,4.80528,6.02352,6.754464,0.541440,7.688448
