Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;99;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/100sta_sim.txt;5.43434343434343,1,6,10,0,10;15.5656565656566,0,3,28,0,94;340.979797979798,275,391,452.5,29,477;421.767676767677,328,476,535,50,592;20.9393939393939,1,10,36,-1,102;2580.70454755556,789.2645015,2474.629213,4027.575935,63.587500,6578.750000;17.4514554343434,1.4775655,10.344826,30.399006,-1.265823,85.000000;3355.64646464646,606,3627,5470.5,5,9763;15.5756511919192,13.5071965,15.774828,18.04246,3.352151,26.028467;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;129.214841656566,129.8415725,134.343614,142.084593,30.938995,153.553519;5.65935127272727,4.378896,6.388992,7.17408,0.636192,7.959168
test;MCS2_8;1500;99;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/100sta_sim.txt;5.34343434343434,1,7,9,0,10;16.6464646464646,0,8,26.5,0,105;388.565656565657,322.5,416,510,7,554;467.808080808081,377,504,598.5,26,666;22.4848484848485,2,16,36,0,112;2759.14731831313,1090.3597745,3177.652174,4137.157726,66.076923,7486.967742;19.0102109393939,2.758751,14.960632,31.69643,0.000000,82.962967;3725.0303030303,877.5,4182,5750.5,19,9489;15.2667976060606,13.396257,15.366294,17.9273435,3.349064,24.231464;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;127.857538666667,127.7385785,134.357516,139.1084425,30.249592,153.646925;6.28187054545455,5.055696,6.768,8.05392,0.324864,8.947296
test;MCS2_8;1500;99;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/100sta_sim.txt;4.64646464646465,0,6,9,0,10;13.5959595959596,0,0,23,0,105;354.868686868687,235,379,484.5,37,532;438.10101010101,340,474,567.5,75,625;18.5959595959596,1,7,32.5,-1,110;2403.43973245455,522.7829295,2604,3788.555178,64.393617,7846.166667;15.7802830606061,0.7920115,8.450706,26.1549375,-1.639343,82.500000;3075.63636363636,186,2933,5387.5,6,8766;16.0394584040404,13.204633,16.160894,18.624445,3.153345,27.788854;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;122.277634838384,121.8636125,134.906095,139.605875,31.991882,151.521619;5.88235345454545,4.554864,6.36192,7.641072,0.974592,8.419392
