Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.477611940298507,0,0,0,0,10;1.23134328358209,0,0,0,0,67;102.089552238806,64.25,93,117,23,375;173.261194029851,133.5,168.5,208.5,45,403;1.14179104477612,-1,0,0,-7,77;487.558112559701,96.592358,119.996154,156.196204,46.325301,11504.653846;1.52923781343284,-1.3115155,0,0,-7.954544,71.962616;717.708955223881,27,67.5,218.5,1,24979;13.8791695074627,10.77703775,14.10451,17.282991,3.774446,25.427848;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;129.715703067164,121.0913945,130.447498,139.141776,97.266611,154.382227;2.29430471641791,1.763064,2.213136,2.768112,0.568512,5.400864
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.626865671641791,0,0,0,0,10;0.313432835820896,0,0,0,0,16;117.119402985075,71.25,105.5,134.5,16,373;188.970149253731,143,178,228,37,467;0.358208955223881,-1,0,1,-15,26;478.682265671642,117.36717225,148.7851645,212.60824525,64.465116,10335.742857;0.649064835820896,-1.4440975,0,0.941193,-21.739128,44.827587;685.029850746269,36,107,371.5,1,10451;14.0433978582089,11.07359125,14.4006345,17.0324745,3.773959,25.623198;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.816536507463,123.91918575,131.874676,140.95522175,103.552025,165.296043;2.50704214925373,1.881504,2.355264,3.0456,0.460224,6.294240
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.447761194029851,0,0,0,0,10;0.880597014925373,0,0,0,0,39;106.223880597015,71.5,93,121.75,25,384;177.805970149254,137,170,210.25,48,425;0.358208955223881,-1,0,0,-13,48;436.529042485075,107.11507775,132.0711335,160.10443075,53.762500,11349.111111;0.47087145522388,-1.4440975,0,0,-26.666664,69.491524;581.910447761194,22.25,60.5,150.5,1,16472;14.0405170597015,11.32075,14.2005905,17.47765,3.574974,25.422036;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.293169858209,122.3032875,130.2816525,140.431237,101.298463,159.364390;2.35582280597015,1.800288,2.246976,2.801952,0.609120,5.698656
