Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;59;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/60sta_sim.txt;5.74576271186441,0,8,9,0,10;69.7627118644068,1,60,104.5,0,316;380.35593220339,334,403,436.5,126,482;555.35593220339,495.5,577,632.5,319,773;75.406779661017,2,67,113,-3,326;1743.65438808475,740.804301,1811.034682,2295.4605355,140.310680,7756.822222;26.5936908135593,1.03022,28.632477,41.404915,-1.197601,89.560440;1833.05084745763,203.5,2013,2655.5,1,6867;34.2280565932203,27.18346,32.895927,39.2978285,7.091338,80.368492;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;141.935542915254,134.6613565,143.038046,151.1562085,109.384052,176.626104;7.47061749152543,6.66648,7.756128,8.520912,4.277376,10.422720
test;MCS2_8;1500;59;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/60sta_sim.txt;5.72881355932203,1,8,9,0,10;70.7627118644068,8.5,56,101,0,276;393.508474576271,375.5,417,434.5,212,476;567.440677966102,533.5,595,617,306,764;75.6271186440678,12,62,108.5,-3,285;1678.26588361017,961.4158475,1893.190476,2162.299242,107.540541,3395.284483;25.9641788813559,5.500252,25.992783,39.6863365,-1.315788,78.549850;1712.08474576271,380,1980,2432,1,5456;34.1799478305085,28.457143,32.691251,38.2054375,13.982402,75.032329;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;143.17559438983,137.7881925,145.194546,151.1664025,110.395972,171.825559;7.63534372881356,7.17408,8.013312,8.297568,4.101408,10.300896
test;MCS2_8;1500;59;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/60sta_sim.txt;5.50847457627119,1,7,9,0,10;73.2203389830509,16.5,58,105.5,0,260;399.983050847458,392,419,449,252,480;571.881355932203,546,590,645,322,785;78.5084745762712,22,67,115,-4,270;1808.73649316949,1470.817736,1891.831522,2152.3652575,130.615385,5007.391304;27.4440040847458,10.232994,27.536232,38.5859755,-1.052635,86.816719;1855.4406779661,189.5,1927,2759.5,2,8263;33.5946161694915,29.0469095,34.265507,38.007143,8.074056,75.620430;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;143.563531525424,138.1936095,144.181852,151.5060565,107.179604,174.745391;7.69407620338983,7.34328,7.945632,8.683344,4.317984,10.558080
