Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;7,5.25,9,9,0,10;31.6492537313433,5.5,28,49,0,134;333.962686567164,330,347.5,364,99,408;403.664179104478,385.5,411.5,435.75,129,519;38.6492537313433,11.75,36.5,58.75,-7,144;4351.56719940299,2983.352364,4593.515,5247.23512,246.786408,16509.000000;33.7335837164179,16.30435,36.683487,49.4697235,-5.833336,88.034187;5439.98507462687,3412.75,5604,7192,2,18471;13.5678444552239,10.727374,12.515269,15.94206875,2.781171,32.380776;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;142.017071052239,136.84895675,145.487657,151.55455325,97.775052,168.556544;5.41303952238806,5.184288,5.529456,5.844168,1.692000,6.971040
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;6.61940298507463,5,8,9,0,10;31.7089552238806,5.25,30,47,0,131;332.679104477612,332.25,349,365.75,53,406;402.462686567164,394.25,415,432.75,111,513;38.5149253731343,12.25,36,56,-8,141;4245.70199928358,3152.0721155,4457.6278895,5538.259118,213.012500,10985.812500;32.9879745746269,14.3368585,36.931818,47.76359975,-12.307693,88.050316;5308.47014925373,3124.5,5481.5,7121.5,1,28100;13.6031520522388,11.321878,12.910914,15.04617975,2.780812,32.376599;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;140.691659910448,136.7527135,144.6219885,150.613096,96.218390,162.958336;5.39687713432836,5.285808,5.570064,5.813712,1.448352,6.889824
test;MCS2_8;1500;134;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;6.7089552238806,5,8,9,0,10;33,7.25,27.5,43,0,160;351.582089552239,345.25,360.5,373.75,165,436;419.873134328358,405.25,423.5,445,194,543;39.3880597014925,16.25,35,52.75,-14,170;4426.54085505224,3521.7582415,4598.2429825,5724.24878025,237.993243,10637.777778;33.7295661791045,15.79328325,36.374807,48.989583,-21.538460,97.142860;5445.29104477612,3292.5,5706,7345.5,25,20517;13.4194913358209,10.327702,12.611713,14.84607175,0.993048,32.174765;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;138.125201634328,134.445788,141.286673,146.97910975,90.019725,159.695970;5.63244394029851,5.441472,5.68512,5.982912,2.585376,7.309440
