Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;7.27672955974843,6.5,9,9,0,10;34.188679245283,8.5,30,55,0,115;322.610062893082,311.5,335,352,70,444;369.383647798742,351,374,396.5,123,516;41.6100628930818,13.5,40,65,-2,124;5841.89566522642,3808.819653,6354.625,7699.15873,157.549020,13799.250000;45.1812287421384,23.0654755,51.136364,69.8432275,-4.761902,91.089111;7373.35849056604,4252.5,7762,10053.5,1,21228;9.02026619496855,5.3030405,7.404245,11.40654,1.801033,28.416293;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;142.299352377359,133.6810565,140.967613,150.3283505,116.274300,176.245284;4.94664452830189,4.710528,4.994784,5.306112,1.610784,6.916896
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;6.52201257861635,2,9,9,0,10;29.6100628930818,2.5,26,51,0,110;294.389937106918,290,310,325.5,68,399;346.062893081761,328,351,381,117,492;36.5911949685535,5.5,35,60.5,-2,119;4852.26553361635,3107.4689205,5324.085714,6513.984996,136.257576,11382.590909;38.965980327044,8.2317085,46.464645,61.467079,-3.076920,81.506851;6665.36477987421,1761,7140,9749.5,2,19096;10.0087793962264,6.407231,8.609716,12.614235,4.204745,28.632312;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;147.884657578616,137.3986905,148.300479,158.569538,116.327043,192.135230;4.63361388679245,4.385664,4.710528,5.103072,1.543104,6.619104
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/170sta_sim.txt;6.43396226415094,4,8,9,0,10;27.4465408805031,2.5,26,45,0,98;264,246,271,293.5,78,361;318.603773584906,295,319,346,131,443;34.314465408805,8.5,34,54.5,-1,107;5041.88591769811,3160.7969495,5402.26,7071.2623735,170.948276,10528.458333;35.6937047861635,12.5174825,40.259739,55.73325,-1.724136,73.529411;6421.16981132075,2925,6408,9419,3,16505;10.5175887861635,7.845097,9.136062,12.711043,4.766641,28.401237;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;157.322680761006,142.375612,159.233542,171.446862,117.990330,193.966317;4.2592881509434,3.932208,4.26384,4.63608,1.705536,5.942304
