Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;69;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/70sta_sim.txt;6.98550724637681,5,8,9,0,10;50.3913043478261,10,48,86,0,210;357.579710144928,353,385,400,23,427;513.985507246377,509,537,561,65,624;56.6811594202899,18,50,96,-1,183;2097.76308449275,1816.583732,2334.83125,2709.452703,63.343949,3555.523810;23.8035355217391,11.377243,25.203255,35.652176,-0.469482,55.963303;2443.76811594203,1670,2420,3287,15,4588;30.7107128115942,27.778405,29.748505,32.506644,7.880399,55.753820;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;125.680483,120.730079,129.578688,136.220981,45.808435,150.936312;6.91091895652174,6.822144,7.228224,7.539552,0.839232,8.405856
test;MCS2_8;1500;69;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/70sta_sim.txt;6.72463768115942,4,9,9,0,10;51.3623188405797,10,53,78,0,176;362.376811594203,369,399,415,14,438;518.333333333333,521,553,571,56,634;57.8115942028985,13,58,87,-5,182;2081.43535473913,1844.804878,2387.731034,2611.635762,64.696262,3654.366972;24.3244444492754,7.096771,27.777779,38.260868,-2.538071,55.657494;2224.72463768116,1328,2392,3134,1,5011;30.4750499275362,27.98187,29.164203,32.908256,7.882217,55.766685;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;127.025358405797,121.843685,129.454251,139.477822,50.718817,150.632782;6.96741704347826,6.998112,7.431264,7.688448,0.717408,8.541216
test;MCS2_8;1500;69;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/70sta_sim.txt;6.59420289855072,5,8,9,0,10;48.8260869565217,4,43,79,0,180;360.666666666667,354,400,416,12,434;519.304347826087,511,547,576,53,634;55.3478260869565,10,48,88,-4,190;1979.62658517391,1393.090909,2300.764045,2635.348684,61.435897,3621.833333;22.9923664637681,6.53595,22.429909,37.440758,-1.851852,58.585857;2260.08695652174,1315,2657,3064,33,4566;30.9898815362319,27.376251,29.739668,34.269551,7.681106,55.934210;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;125.38672084058,121.964061,129.448277,138.354623,50.130196,149.984235;6.98193391304348,6.889824,7.350048,7.729056,0.676800,8.541216
