Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;0.513966480446927,0,0,0,0,9;0.675977653631285,0,0,0,0,37;83.5530726256983,39,56,75.5,9,473;138.899441340782,85.5,113,144,35,514;0.391061452513966,-1,0,0,-11,46;590.608545648045,86.706579,102.324324,134.3635475,42.020833,10937.193548;0.504313201117318,-2.272728,0,0,-21.739128,59.740261;670.748603351955,27,62,145.5,1,12269;10.8572022513967,8.508928,10.811344,13.11376,3.003151,21.022058;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;90.0130113743017,68.999993,89.843815,115.658825,39.873445,139.430271;1.82717336312849,1.11672,1.475424,1.888272,0.433152,6.903360
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;0.659217877094972,0,0,0,0,10;0.502793296089385,0,0,0,0,23;84.2067039106145,36,56,78,6,422;139.608938547486,87.5,113,145.5,25,483;0.335195530726257,-1,0,0,-9,29;550.108938162011,83.466903,103.340909,132.006705,57.387755,9053.135135;0.4165420726257,-2.2001955,0,0,-23.529411,43.939392;779.575418994413,37,83,154.5,1,15206;10.8547792569832,8.604453,10.805592,13.206834,2.801450,20.810769;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;92.7364153631285,73.516244,93.342645,115.790367,42.913600,140.694808;1.83571843575419,1.123488,1.48896,1.922112,0.284256,6.497280
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/180sta_sim.txt;0.748603351955307,0,0,0,0,10;0.737430167597765,0,0,0,0,23;86.5083798882682,37,55,72,9,496;141.977653631285,87,112,144,29,528;0.804469273743017,-1,0,0,-12,33;680.553540865922,83.578283,102.188406,118.961194,45.733333,9209.260870;1.48139906703911,-1.754387,0,0,-20.000000,50.000000;1031.10055865922,19,51,111.5,1,18668;10.7694310111732,8.156538,10.543817,13.130037,2.785159,20.888695;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;87.9163365027933,66.4412745,89.261161,112.1534735,39.324597,135.328034;1.86725202234637,1.137024,1.461888,1.901808,0.324864,7.092864
