Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;0.73394495412844,0,0,0,0,10;1.80733944954128,0,0,0,0,67;107.137614678899,52,72,102,19,476;195.97247706422,125,166,220,62,549;1.31192660550459,-2,-1,0,-10,77;454.953128302752,78.010309,85.126316,101.555556,51.920792,5927.583333;0.917532128440367,-2.105263,-1.052635,0,-12.820511,56.204380;602.064220183486,23,56,92,1,8689;17.5186905137615,13.703388,17.278184,21.051581,6.156594,30.187173;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;89.8160045779816,69.243929,89.328317,113.09423,39.885441,136.118864;2.60332447706422,1.651392,2.206368,2.923776,0.798624,7.390656
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;0.926605504587156,0,0,0,0,10;2.36697247706422,0,0,0,0,49;113.357798165138,56,76,104,18,504;202.146788990826,128,170,222,64,575;2.19266055045872,-2,-1,0,-12,58;546.07528353211,79.344538,86.651515,101.151515,50.655172,6759.049180;1.84605939449541,-1.886795,-0.970871,0,-14.814812,45.312500;800.917431192661,23,53,93,1,11823;17.3403408715596,13.414738,17.162974,20.713934,6.312818,29.591334;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;90.2320402752294,66.773117,90.457746,114.780359,41.813100,138.227381;2.68391955963303,1.692,2.246976,2.950848,0.825696,7.742592
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;0.81651376146789,0,0,0,0,10;2.21100917431193,0,0,0,0,61;108.036697247706,54,77,99,12,469;196.522935779817,125,166,209,72,561;1.91743119266055,-2,-1,0,-10,72;507.691678055046,75.956989,87.943396,99.625,49.238636,6817.701754;1.53236118348624,-1.92308,-0.980392,0,-12.820511,54.330708;706.311926605505,23,56,116,1,12615;17.3967060550459,13.500616,17.471386,20.648001,6.353231,30.177848;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;91.3005037798165,69.785626,91.315076,115.864166,40.777400,138.420889;2.61040293577982,1.62432,2.192832,2.788416,0.893376,7.539552
