Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;4.52631578947368,1.5,5,6.5,0,10;98.8947368421053,0.5,16,174,0,404;472.736842105263,417.5,550,584.5,143,603;1117.21052631579,938,1199,1269,596,1458;100.473684210526,0,16,176.5,-3,409;395.248130157895,146.7379285,416.829985,637.306484,45.006637,741.250362;10.5759913157895,0,2.702705,19.9420545,-0.530502,37.181820;405.736842105263,169,359,557.5,13,1124;127.118842894737,117.2894795,130.474706,137.8544965,74.585088,172.195124;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;123.287171,125.2840215,129.673267,140.757771,53.320067,151.343980;15.0816202105263,12.65616,16.189056,17.140176,8.026848,19.694880
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;4.47368421052632,0,4,9,0,10;104.315789473684,0,33,175.5,0,428;487.789473684211,444.5,562,592,161,632;1127.42105263158,965.5,1191,1273,614,1506;104.315789473684,-0.5,33,177.5,-9,429;424.58569068421,141.8686705,485.930159,649.314788,45.476718,743.598214;11.1074537368421,-0.0754165,4.977379,20.004791,-1.065086,38.964577;342.052631578947,37,217,572,2,1409;126.376597473684,116.0040225,130.664412,136.8631,74.777826,174.153621;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;123.450430052632,123.3154575,131.657525,138.604799,57.386115,152.498203;15.2162677894737,13.021632,16.067232,17.19072,8.270496,20.344608
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;4.10526315789474,0,3,7.5,0,10;96.5263157894737,0,27,139,0,433;454.263157894737,414,496,567.5,121,597;1101.47368421053,938,1181,1263.5,574,1486;97.8421052631579,0,30,145,-8,439;368.654038526316,123.671312,368.548644,603.4307575,44.290663,751.719585;10.2465526315789,0,3.61882,17.9490015,-0.899887,39.549549;431.157894736842,95.5,376,739.5,3,1361;127.641737263158,118.062134,130.655429,138.034312,74.182374,176.502891;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;121.142315631579,120.573074,127.321161,138.2555555,49.812123,152.797269;14.8657566315789,12.65616,15.945408,17.068896,7.715520,20.073888
