Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;0.507537688442211,0,0,0,0,9;0.738693467336683,0,0,0,0,32;81.3266331658292,43.5,60,80,12,376;131.065326633166,86.5,110,142.5,33,414;0.537688442211055,-1,0,0,-16,42;635.430133326633,109.024638,143.724138,179.68124,61.675000,10194.884615;0.672201668341709,-2.22332,0,0,-28.947372,61.764706;759.824120603015,29.5,79,167,1,17594;9.72611653768844,7.608244,9.410196,11.612583,3.003254,17.619091;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;99.5969740954773,78.3210695,99.175272,121.6344465,50.827084,143.233542;1.72040056281407,1.109952,1.434816,1.874736,0.406080,5.549760
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;0.442211055276382,0,0,0,0,9;0.628140703517588,0,0,0,0,25;71.1708542713568,41,56,76,11,352;121.030150753769,86,107,136.5,32,388;0.57286432160804,-1,0,0,-6,33;527.61896781407,119.4481485,140.166667,171.004412,56.250000,9651.696970;0.794525728643216,-1.92379,0,0,-13.333336,50.000000;657.743718592965,25,70,179.5,1,15954;9.71982023115578,7.619082,9.624103,11.829627,3.408537,17.243185;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;96.2243832311558,72.0190415,98.650091,119.247572,43.629389,141.007736;1.58252381909548,1.103184,1.380672,1.79352,0.379008,5.211360
test;MCS2_8;1500;199;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/200sta_sim.txt;0.633165829145729,0,0,0,0,10;0.834170854271357,0,0,0,0,28;78.9447236180904,41,55,76,6,385;128.653266331658,85,107,138,23,416;0.738693467336683,-1,0,0,-20,38;710.056871613065,118.062201,141.830508,167.4389345,54.000000,15001.307692;1.22623059296482,-1.818184,0,0,-52.631577,65.789474;954.613065326633,36,93,192.5,1,26227;9.69827209045226,7.604556,9.605754,11.807073,2.601558,17.610550;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;98.1338924623116,75.8562315,101.388252,121.5225415,47.833936,143.964482;1.68781893467337,1.096416,1.407744,1.807056,0.270720,5.563296
