Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;0.157894736842105,0,0,0,0,1;0,0,0,0,0,0;238.263157894737,150,231,287.5,105,403;744.052631578947,625,736,846,457,1027;-1.57894736842105,-2.5,-1,0,-6,1;64.7689476842105,39.7622625,52.813154,77.4081305,37.331967,129.912975;-0.293738210526316,-0.4475365,-0.297623,0,-1.169594,0.278549;29.1578947368421,2.5,17,36,1,98;99.5365501052631,79.3081545,102.136308,120.43819,56.676795,132.639444;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;137.114395947368,122.865403,130.943527,156.269906,92.727948,178.908027;10.0305549473684,8.419392,9.935424,11.40408,6.145344,13.860864
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;0.263157894736842,0,0,0,0,3;0,0,0,0,0,0;218.526315789474,129.5,216,285,67,404;724.105263157895,618.5,697,818,441,1022;-1.15789473684211,-1.5,-1,0,-6,2;51.4829672631579,37.246099,47.949045,62.2032205,33.675774,86.656352;-0.228223684210526,-0.3804475,-0.18248,0,-0.950874,0.409836;45.8421052631579,8,19,40,1,298;99.4621700526316,79.4951705,101.139895,119.931451,56.866595,132.623131;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;145.789670789474,127.5780575,139.953924,164.84577,102.223509,193.884464;9.75769768421053,8.331408,9.393984,11.03184,5.935968,13.793184
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;0.421052631578947,0,0,1,0,2;0.0526315789473684,0,0,0,0,1;218.947368421053,130,215,292.5,94,400;724.631578947368,638,703,818,420,1015;-1.78947368421053,-3,-2,0,-7,2;58.5138925789474,38.274056,48.658171,70.074998,35.767213,108.097638;-0.355648315789474,-0.6243325,-0.326263,0,-1.211075,0.298950;24.6315789473684,6.5,12,42,1,70;99.5829358947368,79.1070685,101.933984,120.5300485,56.673721,132.632249;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;136.292520052632,121.59601,131.291656,152.5565105,95.022220,179.338726;9.76410947368421,8.588592,9.4752,11.03184,5.644512,13.684896
