Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/160sta_sim.txt;0.471698113207547,0,0,0,0,10;0.924528301886792,0,0,0,0,49;80.062893081761,40.5,57,75.5,6,406;141.704402515723,95,124,149.5,27,441;0.691823899371069,-1,0,0,-5,59;545.558435377359,70.342741,88.486842,105.082951,48.117647,10754.545455;0.774185823899372,-1.77005,0,0,-6.849312,56.190475;433.962264150943,20,49,104,1,11106;12.092569490566,9.610589,12.213457,14.616105,2.202427,21.423606;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;108.612690811321,94.257791,107.785461,124.6458245,75.570228,141.571493;1.86784301886792,1.238544,1.62432,1.969488,0.311328,5.901696
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/160sta_sim.txt;0.29559748427673,0,0,0,0,9;0.59748427672956,0,0,0,0,33;84.0314465408805,45,62,82,11,398;146.603773584906,103,131,155.5,24,459;0.308176100628931,-1,0,0,-4,43;460.054575761006,75.0714285,88.636364,107.569564,23.317073,7845.825000;0.469912100628931,-1.92379,0,0,-6.896553,51.807228;557.169811320755,26,55,108.5,1,18831;12.1775498867924,9.731797,12.313703,14.697,2.184689,21.846892;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;118.978411754717,103.892772,118.250981,135.027035,88.571094,151.457136;1.93262852830189,1.333296,1.732608,2.037168,0.284256,6.158880
test;MCS2_8;1500;159;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/160sta_sim.txt;0.70440251572327,0,0,0,0,10;0.880503144654088,0,0,0,0,43;81.2138364779874,44,59,75,6,370;142.767295597484,98,126,151.5,21,405;0.616352201257862,-1,0,0,-17,53;457.537312081761,66.758801,80.926471,96.5717315,48.589744,8268.344828;0.785300320754718,-2.08424,0,0,-21.794868,53.225807;853.415094339623,15,53,98.5,1,25912;12.1050730503145,9.7055805,12.207018,14.608399,2.401381,21.812541;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;116.82270491195,103.101802,116.901819,132.975362,87.729010,148.286005;1.87848452830189,1.279152,1.637856,2.006928,0.230112,5.441472
