Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;0.473684210526316,0,0,1,0,1;4.05263157894737,0,0,0,0,73;300.736842105263,238.5,310,354.5,187,423;806.210526315789,640,782,982.5,511,1127;-0.526315789473684,-6.5,-4,-1.5,-13,73;106.057593789474,43.818553,48.05949,54.701472,40.242075,737.930493;-0.0597161052631579,-1.512043,-0.813011,-0.299202,-2.145218,14.065514;44.3684210526316,16.5,40,69,1,146;100.108582368421,79.5068265,97.612341,123.885018,54.119746,146.418512;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;128.401085210526,117.1024805,127.302452,142.94379,96.414135,157.491241;10.8719242105263,8.622432,10.531008,13.26528,6.876288,15.214464
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;0.421052631578947,0,0,1,0,1;3.10526315789474,0,0,0,0,59;292.526315789474,226,298,337,167,455;799.263157894737,628,792,972,509,1142;-2.10526315789474,-7,-5,-3,-14,59;93.8417935789474,43.656892,47.117093,51.7427815,36.590778,588.865510;-0.422426684210526,-1.2624625,-1.016258,-0.603302,-2.486191,11.346153;49.8421052631579,25.5,43,56,1,133;100.403512947368,79.502513,97.803835,123.2879325,55.100752,146.213781;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;135.434751263158,122.679474,133.72302,149.335703,100.567752,168.755726;10.7743225263158,8.46,10.679904,13.109616,6.835680,15.403968
test;MCS2_8;1500;19;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/20sta_sim.txt;1.15789473684211,0,0,1,0,10;4.73684210526316,0,0,0,0,84;318.842105263158,242.5,327,377,187,492;823.105263157895,645.5,821,1014.5,527,1178;-2.57894736842105,-11.5,-8,-4.5,-24,93;126.931728473684,48.695872,50.891262,60.0580885,41.729107,811.429577;-0.334201631578947,-2.332512,-1.403511,-0.9644505,-3.503647,17.919075;181.631578947368,5.5,21,59,1,1501;100.510532315789,80.0873725,99.371309,123.771393,52.735665,146.597278;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;121.168342631579,109.568634,121.012281,134.6694,87.689887,147.856742;11.0991865263158,8.690112,11.072448,13.684896,7.092864,15.904800
