Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;139;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.820143884892086,0,0,0,0,10;1.01438848920863,0,0,0,0,45;93.2086330935252,48,71,96,11,372;163.525179856115,116.5,146,185,41,433;1,-1,0,0,-6,54;590.192410309352,77.0234375,91.064935,106.3613835,48.852459,8366.466667;1.61760883453237,-1.6001015,0,0,-7.058823,50.943398;928.338129496403,12,52,96.5,1,18171;13.839521676259,10.60934,14.012336,17.315243,4.003524,25.622557;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;107.315383517986,92.5733245,107.072685,122.2416165,74.454570,138.517759;2.16337726618705,1.529568,1.89504,2.450016,0.473760,5.806944
test;MCS2_8;1500;139;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.561151079136691,0,0,0,0,9;0.611510791366906,0,0,0,0,21;98.3741007194245,57,79,105.5,11,367;169.856115107914,122,154,198.5,35,446;0.158273381294964,-1,-1,0,-12,31;440.526011107914,82.2564935,101.080357,122.556439,56.044776,6353.960000;0.273283100719424,-2.298851,-0.980392,0,-12.500000,50.819672;556.446043165468,7,25,74.5,1,20463;14.0031874028777,10.624906,13.901746,17.277884,3.971927,26.016125;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;112.01485823741,98.2702225,110.787048,125.615001,80.810048,142.763504;2.24731994244604,1.597248,2.0304,2.63952,0.446688,5.982912
test;MCS2_8;1500;139;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/140sta_sim.txt;0.546762589928058,0,0,0,0,10;0.805755395683453,0,0,0,0,55;93.0431654676259,50.5,68,93,19,380;164.280575539568,114.5,145,186.5,40,471;0.575539568345324,-1,0,0,-11,65;519.92516271223,75.1157475,85.105263,99.989816,46.918919,8839.852941;0.947670050359713,-1.835018,0,0,-12.643677,60.747665;624.165467625899,37.5,81,141,1,16082;13.9406321151079,10.926403,14.104993,17.1842515,3.774575,25.428719;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;112.005223079137,96.829031,111.935531,128.147533,79.270693,144.463257;2.17068086330935,1.48896,1.89504,2.47032,0.500832,6.321312
