Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;7.97247706422018,8,9,9,0,10;55.8715596330275,18,48,88,0,196;391.550458715596,379,407,436,13,475;463.733944954128,450,476,508,29,552;64.1834862385321,25,56,99,0,204;4323.59973319266,3834.9125,4614.041096,5008,75.071429,7235.891892;42.5075849633027,26.829269,43.75,62.275448,0.000000,86.875000;4812.44036697248,3866,4798,6068,6,10474;13.9833014954128,11.316693,13.500616,15.883078,2.779539,38.715002;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;135.349493486239,125.932306,137.82814,150.495242,74.964743,163.471717;6.2273711559633,6.050592,6.388992,6.822144,0.338400,7.431264
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;7.96330275229358,8,9,9,0,10;56.0825688073394,22,50,84,0,227;401.94495412844,392,423,447,19,491;474.550458715596,461,489,516,36,593;64.6330275229358,32,59,94,0,236;4381.20141655046,3750.129412,4449.409836,5162.925373,73.261905,9632.527778;43.2232833119266,29.357796,48.095238,57.142857,0.000000,91.828796;5195.34862385321,3927,4988,6344,47,12670;13.9631281009174,11.639258,13.612014,16.176596,2.959133,27.026752;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;137.415363229358,128.415212,140.550001,152.841082,71.964629,166.063307;6.37117563302752,6.172416,6.578496,6.943968,0.406080,7.972704
test;MCS2_8;1500;109;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/110sta_sim.txt;7.94495412844037,8,9,9,0,10;56.1743119266055,17,46,86,0,208;392.853211009174,381,411,437,9,484;464.467889908257,454,483,504,25,571;64.651376146789,26,57,96,-1,216;4288.89728887156,3724.593407,4410.514706,5192.589041,81.857143,8399.136364;42.6102495779816,25.581398,44.117645,59.313725,-1.190475,90.659340;5312.4128440367,3977,5443,6271,4,14611;13.8655470275229,11.32019,13.703388,16.086585,2.780397,27.208175;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;131.403409724771,122.614665,133.243476,145.848935,67.019235,162.478879;6.2376783853211,6.0912,6.483744,6.768,0.297792,7.674912
