Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;189;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;8.33333333333333,9,9,10,0,10;32.5238095238095,17,33,49,0,90;360.047619047619,337,385,408,65,442;398.486772486773,373,416,442,122,498;41.1269841269841,25,43,59,0,100;7169.45955172486,6201.088889,7328.676471,8834.2,173.258065,15480.636364;49.5509327248677,39.534885,54.347828,66.666672,0.000000,80.701752;9065.89417989418,6785,9058,11372,34,23914;7.32775569841271,5.41151,7.014921,8.618331,2.204689,19.240926;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;135.038631375661,124.647189,137.636485,150.7981,77.520187,162.063667;5.34081371428571,4.994784,5.576832,5.928768,1.583712,6.700320
test;MCS2_8;1500;189;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;8.62433862433863,9,10,10,0,10;32.7301587301587,16,32,48,0,87;347.936507936508,316,363,405,58,436;386.126984126984,355,399,437,105,475;41.2116402116402,26,41,57,-2,97;7575.21538195238,6242.254902,7536.1,8970.882353,168.540230,18460.111111;50.2276727407407,37.254902,55,67.5,-5.882355,89.534882;9204.30687830688,7405,9292,11447,43,29738;7.29699068783069,5.215624,7.021032,8.82644,1.604807,19.257687;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;133.515706640212,124.134703,136.32395,150.177709,76.315065,163.478970;5.17365485714286,4.764672,5.34672,5.861088,1.367136,6.375456
test;MCS2_8;1500;189;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;8.21164021164021,8,9,10,0,10;31.5502645502646,17,32,46,0,88;348.650793650794,321,368,398,66,451;387.94708994709,359,405,437,113,495;40.2116402116402,26,41,56,-1,98;7095.83979484127,6273.021739,7197.172414,8458.069767,176.354839,16200.100000;48.6645094656085,38.666668,53.284672,64.10257,-5.555557,88.888885;9327.708994709,7352,9289,11695,1,25090;7.51408373015872,5.803113,7.203864,9.004831,1.800966,19.410412;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;137.560990391534,126.475808,141.803901,155.043988,76.452181,167.784310;5.19678780952381,4.80528,5.441472,5.847552,1.488960,6.632640
