Name;DataMode;PayloadSize;NSta;NGroup;NRawSlotNum;BeaconInterval;NumOfRpsElements;ContentionPerRAWSlot;TrafficString;EDCAQueueLength;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;PacketLoss;Latency;GoodputKbit;time;EnergyRxIdle;EnergyTx
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;7.22346368715084,4.5,9,10,0,10;26.8994413407821,5,22,44,0,96;290.27374301676,282,301,317.5,74,410;335.36312849162,315,337,361,111,483;33.8715083798883,10.5,30,54,-8,104;6066.57904760894,3518.3394365,6690.842105,8340.0734125,247.147541,15159.222222;41.8338468435754,13.357372,45.833332,66.30785,-8.602150,85.714287;7822.63687150838,2923,8450,11651,2,20738;8.71655011173184,5.416881,7.021883,11.235013,1.805627,28.087533;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;145.350508463687,134.5559445,143.547434,153.6254035,115.409230,195.922791;4.48680831284916,4.19616,4.493952,4.818816,1.448352,6.483744
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;6.78212290502793,4,8,9,0,10;24.6480446927374,5.5,22,40.5,0,100;281.106145251397,270.5,290,302.5,102,363;328.659217877095,306.5,330,344.5,147,450;31.7150837988827,11,29,49.5,-1,110;5893.10179749721,3625.956081,6063.6,8126.104064,309.209302,14414.095238;38.4814251731844,15.9792365,41.666668,57.0598015,-1.098900,81.060608;7739.94413407821,3280,8173,11159,1,25601;9.17736873184358,6.003468,7.804509,11.9068785,3.201850,28.416416;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;150.863982072626,138.9075935,150.161268,162.954921,111.192435,204.446534;4.39455177653631,4.087872,4.412736,4.609008,1.935648,6.050592
test;MCS2_8;1500;179;0;0;102400;1;0;/home/soczysty7/Mgr19/8LipcaClone/IEEE-802.11ah-ns-3/OptimalRawGroup/traffic/190sta_sim.txt;6.49162011173184,2.5,9,9,0,10;27.3631284916201,3,24,44,0,103;285.921787709497,280.5,299,314,72,375;330.888268156425,311.5,336,353,122,451;34.391061452514,9.5,34,53.5,-6,113;6460.63835738548,4565.052898,7167.342105,8961.3602695,150.773810,16590.764706;41.1860876703911,14.119602,50,64.1428565,-7.317070,88.461540;7458.99441340782,1877.5,8201,10823.5,2,21499;8.64351961452514,5.803714,7.20461,9.706211,1.801153,28.218056;63000000000,63000000000,63000000000,63000000000,63000000000,63000000000;148.511266435754,136.7120295,148.239023,157.46464,116.202056,203.813896;4.4272952849162,4.169088,4.493952,4.724064,1.610784,6.050592
